Ticker,Name,Sector,Industry,Price,MarketCap,PriceChg1Y,PriceChg3Y,PriceChg5Y,PriceChg10Y,Sales_D,Sales_Pct,Profits_D,Profits_Pct,Q,P,O,Score_Sector,Score_Sector_Adj,Score_Ind,Score_Ind_Adj,Rank_Sales_D,Rank_Price3Y,Rank_Sales_TotalShare,Rank_Profits_D,Rank_Sales_D_Sec,Rank_Price3Y_Sec,Rank_Sales_D_Ind,Rank_Price3Y_Ind,Sales_D_SecShare,Sales_D_IndShare,OnGRNJ
IRTC,iRhythm Holdings Inc.,Health Care,Health Care Equipment and Supplies,115.488,3806.83,-0.3656,0.0624,0.1912,,168.1175123427298,0.1046657922210028,30.599999999999998,-0.6868686868686869,,,0,287.6666666666667,1000.0,33.666666666666664,1000.0,674.0,753.0,1054.0,562.0,71.0,118.0,16.0,14.0,0.0025489830325107223,0.019513692907194843,False
IT,Gartner Inc.,Information Technology,IT Services,169.442,10700.09,-0.312,-0.2173,-0.117,0.0668,43.65582439411901,-0.005171434595973912,46.120000000000005,0.06324479245231274,,,0,431.6666666666667,1000.0,55.333333333333336,1000.0,996.0,1196.0,291.0,462.0,143.0,156.0,11.0,12.0,0.00045876222374667384,0.010671657196588032,False
ITGR,Integer Holdings Corporation,Health Care,Health Care Equipment and Supplies,126.02,4283.68,0.2298,0.1608,0.0603,0.1829,48.63910427416977,-0.005502686605813434,25.590000000000003,0.24890574846804792,,,0,394.3333333333333,1000.0,47.333333333333336,1000.0,981.0,470.0,772.0,602.0,116.0,86.0,21.0,5.0,0.0007374618490584629,0.005645625674928218,False
ITRI,Itron Inc.,Information Technology,Electronic Equipment Instruments and Components,94.05,4118.14,-0.2049,0.1364,0.0358,0.0573,-138.95702788675635,-0.027044723913162816,-27.089999999999975,-0.08998206337607118,,,0,484.6666666666667,1000.0,76.0,1000.0,1199.0,533.0,687.0,1043.0,176.0,79.0,34.0,18.0,-0.0014602458206503278,-0.0030247020345851106,False
ITT,ITT Inc.,Industrials,Machinery,196.999,17612.23,0.1319,0.2513,0.1703,0.1898,1038.4826032638402,0.2030214548686049,-66.5,-0.13627049180327866,,,0,75.66666666666667,75.66666666666667,14.333333333333334,14.333333333333334,138.0,317.0,393.0,1159.0,27.0,62.0,4.0,12.0,0.009203873030804777,0.06667820037382943,True
IVT,InvenTrust Properties Corp.,Real Estate,Retail REITs,32.132,2505.6,0.0948,0.0954,0.9016,,30.172858564835735,0.06046729284353369,-96.18,-0.8632202477113624,,,1,376.3333333333333,1000.0,28.0,1000.0,1039.0,660.0,1223.0,1194.0,68.0,22.0,12.0,4.0,0.0012573634910909522,0.03230955606082427,False
IVZ,Invesco Ltd.,Financials,Capital Markets,32.336,14276.34,0.4592,0.2783,0.0562,0.0049,749.4424139775356,0.08238854651800964,217.2,-0.7710330138445154,,,0,95.0,95.0,19.0,19.0,207.0,280.0,269.0,136.0,36.0,42.0,9.0,12.0,0.004080693249276996,0.007164710066633193,False
J,Jacobs Solutions Inc.,Industrials,Professional Services,141.3,16537.56,-0.0236,0.0262,0.0117,0.109,2383.678132179124,0.18200166586587607,49.09000000000003,0.16966198935508414,,,0,63.0,1000.0,6.333333333333333,1000.0,42.0,833.0,119.0,439.0,8.0,139.0,1.0,10.0,0.021126084159648298,0.19157151803139663,False
JAN,Janus Living Inc.,Real Estate,Health Care REITs,30.798,9482.42,,,,,,0.19705624265302402,6.84,1.0771653543307087,,,0,491.6666666666667,1000.0,38.666666666666664,1000.0,1291.0,1235.0,1098.0,809.0,95.0,89.0,11.0,10.0,,,False
JBHT,J.B. Hunt Transport Services Inc.,Industrials,Ground Transportation,268.466,25212.97,0.9605,0.1325,0.0908,0.1317,636.995790273555,0.05852188914168566,76.22000000000003,0.12739854248846694,,,0,131.0,131.0,18.333333333333332,18.333333333333332,252.0,543.0,140.0,334.0,50.0,91.0,2.0,3.0,0.005645572064865318,0.15182289966556875,False
