Ticker,Name,Last Price,Market Cap,Trading Region,Trading Country,Below 52W High %,Revenues Est Avg Rev % (FY1E - 1W),Revenues Est Avg Rev % (FY1E - 1M),Revenues Est Avg Rev % (FY1E - 3M),Revenues Est Avg Rev % (FY1E - 6M),Revenues Est Avg Rev % (FY1E - 1Y),Revenues Est Avg Rev % (FY2E - 1W),Revenues Est Avg Rev % (FY2E - 1M),Revenues Est Avg Rev % (FY2E - 3M),Revenues Est Avg Rev % (FY2E - 6M),Revenues Est Avg Rev % (FY2E - 1Y),Revenues Est Avg Rev % (FY3E - 1W),Revenues Est Avg Rev % (FY3E - 1M),Revenues Est Avg Rev % (FY3E - 3M),Revenues Est Avg Rev % (FY3E - 6M),Revenues Est Avg Rev % (FY3E - 1Y),Revenues - Est Avg (FY1E),Revenues - Est Avg (FY2E),Revenues - Est Avg (FY3E),Total Revenues (-1FY),Total Revenues (-2FY),Total Revenues (-3FY),Total Revenues (-4FY),Total Revenues (-5FY),Total Revenues (-6FY),Total Revenues (-7FY),Total Revenues (-8FY),Total Revenues (-9FY),Total Revenues (-10FY),Sector,Industry,Description
TOI,Topicus.com Inc.,88.57,5246.58,United States and Canada,CA,-0.4495,-0.0076,-0.0252,-0.0061,-0.0259,-0.0748,-0.0076,-0.0252,-0.0013,-0.0221,-0.0494,,,,,,2043.41,2342.21,,1341.41,1241.97,981.56,845.14,603.45,468.2,407.79,,,,Information Technology,Software,Topicus.com Inc. provides vertical market software and vertical market platforms in the Netherlands and internationally. It develops installs and customizes software solutions as well as provides related professional services and support. The company provides consumer centric platforms and common workspaces; and software solutions that provide customers with business values and allow them to operate at a level of efficiency. It serves education healthcare social services local and central government retail financial services and accountancy legal services real estate automotive maritime and professional associations. Topicus.com Inc. was incorporated in 2020 and is headquartered in Deventer Netherlands.
FTT,Finning International Inc.,102.96,9484.54,United States and Canada,CA,-0.0604,-0.0079,-0.0235,0.0559,0.0204,0.0703,-0.0043,-0.02,0.051,0.0289,0.0779,-0.0082,-0.0238,0.0468,,,8145.61,8558.9,8943.2,6888.13,7945.09,6853.28,5768.15,4869.46,6020.07,5125.35,4976.18,4191.18,4522.59,Industrials,Trading Companies and Distributors,Finning International Inc. sells services and rents heavy equipment engines and related products in Canada Chile the United Kingdom Argentina and internationally. The company offers articulated trucks asphalt pavers backhoe loaders cold planers compactors dozers drills electric rope shovels excavators hydraulic mining shovels log stackers material handlers motor graders off-highway trucks pipelayers remixing transfer vehicle road reclaimers road wideners skid steer and compact track loaders track distributors telehandlers underground-hard rock wheel loaders window elevators wheel tractor-scrapers vibratory double drum asphalt and single drum pad and mobile and stationary generator sets. It also provides feller bunchers track quick coupler winch adapters augers backhoes bale grabs and spears blades brooms cold planers compactors excavator and loader couplers electric power controls flail mowers forks grapples hammers material handling mulchers nursery and snow products pulverizes rakers rippers saws shears stump grinders trillers tilt rotate systems and trenchers; and backhoe front and rear compact wheel loaders excavators loaders mining shovels skid steer loaders and telehandler buckets. In addition it offers power systems for electric power generation oil and gas industrial and marine power systems; and fuel fluid analysis financing maintenance rebuilds repair warranty and customer training services as well as rents generators battery energy storage systems electrical distribution product air compressor and heavy equipment. It serves agriculture construction forestry mining paving pipeline power systems and landscaping equipment industries as well as government. The company was formerly known as Finning Ltd. and changed its name to Finning International Inc. in April 1997. The company was incorporated in 1933 and is headquartered in Surrey Canada.
AIDX,Healwell AI Inc.,0.75,162.01,United States and Canada,CA,-0.5342,-0.0079,-0.0235,0.0004,-0.0345,-0.2751,-0.0083,-0.0239,-0.0079,-0.0328,-0.2782,-0.0082,-0.0238,-0.0213,-0.1445,-0.3385,96.25,109.4,128.05,27.11,5.52,7.7,37.81,30.31,35.65,33.01,34.63,,,Health Care,Health Care Providers and Services,Healwell AI Inc. operates as a healthcare technology company in Canada Australia and New Zealand. The company operates in two segments AI and Data Sciences and Healthcare Software. It focuses on developing and commercializing clinical decision support systems to help healthcare providers detect rare and chronic diseases. The company provides healthcare artificial intelligence engines electronic health record platform healthcare data management and interoperability software and early/late phase contract clinical research services. It also offers rare and chronic disease screening real world evidence clinical study generation advanced clinical decision support and physical ASI co-pilot tools. It serves public sector organizations healthcare providers insurers and life science companies. The company was formerly known as MCI Onehealth Technologies Inc. and changed its name to Healwell AI Inc. in September 2023. Healwell AI Inc. was incorporated in 2012 and is headquartered in Toronto Canada.
APTX,Apotex Health Corp.,33.75,5481.78,United States and Canada,CA,-0.16,-0.008,-0.0235,,,,-0.0075,-0.0241,,,,-0.0084,-0.024,,,,2408.88,2612.71,2881.34,2327.99,2170.81,,,,,,,,,Health Care,Pharmaceuticals,Apotex Health Corp. operates as a pharmaceutical manufacturing company in Canada the United States Mexico and India. The company develops manufactures and distributes a broad portfolio of prescription and generic pharmaceuticals oncology biosimilar pharmaceuticals branded specialty pharmaceuticals and branded consumer health and wellness products. It operates through three business lines including conventional generic pharmaceuticals; specialty generic pharmaceuticals; and brands & biosimilars. The company has a a strategic partnership with Halo Pharmaceutical Inc. The company was formerly known as Artemis Parent Inc. and changed its name to Apotex Health Corp. in May 2026. Apotex Health Corp. was founded in 1974 and is headquartered in Toronto Canada. Apotex Health Corp. operates as a subsidiary of SK Artemis Holdings II LLC
ENB,Enbridge Inc.,67.69,106993.47,United States and Canada,CA,-0.1607,-0.008,-0.0235,0.2388,0.315,0.5483,-0.0082,-0.0086,0.1362,0.157,0.3322,-0.0082,-0.1277,-0.0172,-0.0028,0.0646,58842.23,53783.27,47634.04,37193.69,32943.39,39372.95,37224.11,30718.63,38559.4,33977.05,35299.36,25736.88,24356.39,Energy,Oil Gas and Consumable Fuels,Enbridge Inc. together with its subsidiaries operates as an energy infrastructure company. The company operates through four segments: Liquids Pipelines Gas Transmission Gas Distribution and Storage and Renewable Power Generation. The Liquids Pipelines segment operates pipelines and related terminals to transport store and export various grades of crude oil and other liquid hydrocarbons in Canada and the United States. This segment also provides physical commodity marketing and logistical services and crude oil marketing services. The Gas Transmission segment invests in natural gas pipelines and gathering and processing facilities in Canada and the United States. The Gas Distribution and Storage segment is involved in natural gas utility operations serving residential commercial and industrial customers in Ontario as well as natural gas distribution activities in Quebec. The Renewable Power Generation segment operates wind solar geothermal waste heat recovery and transmission assets in North America. The company was formerly known as IPL Energy Inc. and changed its name to Enbridge Inc. in October 1998. Enbridge Inc. was founded in 1949 and is headquartered in Calgary Canada.
PMZUN,Primaris Real Estate Investment Trust,21.79,1824.54,United States and Canada,CA,-0.0672,-0.008,-0.0212,0.0087,-0.0278,0.0645,0.0516,0.0407,0.0749,0.0346,0.1377,0.0517,0.0506,0.145,0.1243,,509.85,567.11,590.69,349.12,310.17,280.71,196.03,212.37,211.34,202.53,,,,Real Estate,Retail REITs,Primaris Real Estate Investment Trust is Canada’s only enclosed shopping centre focused REIT. With ownership interests in leading enclosed shopping centres located in growing Canadian markets. The current portfolio totals 14.6 million square feet valued at approximately 5.2 billion US dollars at Primaris’ share. Economies of scale are achieved through its fully internal vertically integrated full-service national management platform. Primaris is very well-capitalized and is exceptionally well positioned to take advantage of market opportunities at an extraordinary moment in the evolution of the Canadian retail property landscape. Primaris Real Estate Investment Trust was incorporated in 2021 in Ontario Canada.
ADUN,Alaris Equity Partners Income Trust,23.52,761.29,United States and Canada,CA,-0.106,-0.008,-0.0223,0.1286,0.0467,0.1981,-0.0122,-0.0335,0.0029,-0.0336,0.0619,,,,,,158.22,159.2,,107.8,182.08,146.3,166.75,53.51,88.85,87.74,91.99,89.6,61.72,Financials,Capital Markets,"Alaris Equity Partners Income Trust is a private equity firm specializing in management buyouts growth capital lower & middle market later stage industry consolidation growth capital and mature investments. The firm does not invest in turnarounds and start-ups. It prefers to invest in the companies based in all industries except for those with a declining asset base such as oil and gas resource companies or any industry that carry the risk of obsolescence such as high tech and focuses on business services professional services information services healthcare services distribution & logistics industrials consulting services consumer products and construction related services. The firm seeks to invest in companies raising capital for a partial liquidity generational transfer recapitalization and growth and who do not want to give up control or chance the added risk that comes with high leverage levels. It prefers to invest in companies that are mostly individual or family controlled. The firm typically provides alternative financing for a diversified group of private businesses (Private Company Partners"") in exchange for royalties or distributions from the Private Company Partners with the principal objective of generating stable and predictable cash flows for dividend payments to its shareholders. It seeks to invest in the companies based in Canada and The United States. It typically invests between $30 million and $150 million in companies with an enterprise values between $10 million and $400 million and EBITDA between $5 million and $50 million historical EBITDA in excess of $10 million and Low levels of debt and capital expenditure. The firm also makes small cap investments up to $20 million in private companies that have historical EBITDA in excess of $2 million. However for larger companies transactions can be structured to include additional investments. The firm seeks to invest in industries that do not experience large cyclical swings. It does not own any shares and does not require board representation. The firm invests through balance sheet and seeks equity dividend distribution from portfolios. It prefers to make non control equity minority and majority investments in its portfolio companies. Alaris Equity Partners Income Trust was founded in 2004 and is based in Calgary Canada."""
CP,Canadian Pacific Kansas City Limited,125.68,78351.51,United States and Canada,CA,-0.0577,-0.0081,-0.0236,0.0282,0.0032,-0.0117,-0.0082,-0.0236,0.0285,-0.0014,-0.0168,-0.0085,-0.0237,0.0284,-0.0074,0.0001,11611.97,12299.15,13143.71,10117.62,9475.69,6509.84,6322.51,6059.32,6000.82,5359.79,5213.21,4640.98,4837.55,Industrials,Ground Transportation,Canadian Pacific Kansas City Limited together with its subsidiaries owns and operates a transcontinental freight railway in Canada the United States and Mexico. The transports bulk commodities including grain coal potash fertilizers and sulphur; merchandise freight consists of industrial and consumer products such as forest products energy chemicals and plastics metals minerals consumer products and automotive; and intermodal traffic comprising retail goods in overseas containers. The company also provides rail and intermodal transportation services through a network of approximately 20000 miles serving business centers. The company was formerly known as Canadian Pacific Railway Limited and changed its name to Canadian Pacific Kansas City Limited in April 2023. Canadian Pacific Kansas City Limited was founded in 1881 and is headquartered in Calgary Canada.
BDT,Bird Construction Inc.,79.34,3117.32,United States and Canada,CA,-0.065,-0.0081,-0.0231,0.0544,0.0276,-0.0053,-0.0081,-0.0247,0.0346,0.0832,0.0861,-0.0172,-0.0327,0.0447,,,2912.76,3435.97,3740.68,2363.06,2112.34,1756.01,1755.61,1182.34,1060.01,1012.31,1128.36,1183.98,1041.32,Industrials,Construction and Engineering,Bird Construction Inc. provides construction services in Canada. The company primarily focuses on projects in the industrial building and infrastructure markets. It constructs large complex industrial buildings including manufacturing processing distribution and warehouse facilities; and provides electrical and instrumentation high voltage testing and commissioning services as well as power line construction structural mechanical and piping including off-site metal and modular fabrication. It also involved in the civil construction operations such as site preparation and earthworks underground piping utilities and foundation drilling blasting and other concrete services as well as contract mining mine support and greenfield and brownfield hydroelectric facilities; steel modular construction; and civil infrastructure operations comprising road bridge rail and underground utilities installation. In addition the company constructs and retrofits institutional facilities include healthcare long term care post-secondary education transportation public safety and defence facilities as well as K-12 schools public spaces and government buildings; offers industrial maintenance repair and operations services; and constructs new construction and retrofit of warehousing laboratories manufacturing and processing facilities data centers office buildings retail spaces film studio infrastructure hotels and mixed-use mid- to high-rise residential buildings. Further it offers electrical and related system services such as electrical and mechanical infrastructure design and installation data communications telecommunications security and lifecycle services. It serves oil and gas chemicals liquefied natural gas natural resources nuclear power renewable energy and water and wastewater sectors. Bird Construction Inc. was founded in 1920 and is based in Mississauga Canada.
GOOS,Canada Goose Holdings Inc.,10.71,741.76,United States and Canada,CA,-0.4773,-0.0082,-0.0247,0.0103,-0.0089,0.0343,-0.0082,-0.0256,0.0067,-0.0123,0.0511,-0.0082,-0.0286,-0.0362,,,1118.85,1164.18,1157.4,941.85,984.69,900.47,877.79,718.66,684.87,621.47,458.39,303.64,224.27,Consumer Discretionary,Textiles Apparel and Luxury Goods,Canada Goose Holdings Inc. together with its subsidiaries designs manufactures and sells performance luxury outerwear apparel footwear and accessories for men women youth children and babies. It operates through three segments: Direct-to-Consumer Wholesale and Other. The company offers leisure wear including knitwear sweats and t-shirts; outerwear products including rain and everyday collections jackets for everyday occasions fleece and vests; footwear and accessories products such as sneakers boots hats scarves gloves hood trims socks bags and eyewear; and lightweight and heavyweight down jackets for the fall winter and spring seasons. It sells its products through e-commerce channels and directly operated retail stores. The company offers its products under Canada Goose Snow Goose and Baffin brands in Canada the United States North America Greater China rest of the Asia Pacific Europe the Middle East and Africa. Canada Goose Holdings Inc. was founded in 1957 and is headquartered in Toronto Canada.
EFR,Energy Fuels Inc.,16,2836.3,United States and Canada,CA,-0.583,-0.0082,-0.0238,-0.1382,-0.2918,-0.2536,-0.0082,-0.0238,0.0368,0.0709,-0.0104,-0.0082,-0.0238,0.0493,0.4346,-0.4885,128.24,254.47,433.6,78.11,37.93,12.52,3.18,1.66,5.87,31.72,31.05,54.55,61.35,Energy,Oil Gas and Consumable Fuels,Energy Fuels Inc. together with its subsidiaries engages in the exploration recovery recycling exploration operation development permitting evaluation and sale of uranium mineral properties in the United States. It operates through three segments: Uranium REE and HMS. It produces and sells vanadium pentoxide rare earth elements carbonate and heavy mineral sands such as ilmenite rutile zircon and monazite. The company was formerly known as Volcanic Metals Exploration Inc. and changed its name to Energy Fuels Inc. in May 2006. Energy Fuels Inc. was incorporated in 1987 and is headquartered in Lakewood Colorado.
ATRL,AtkinsRéalis Group Inc.,87.45,9924.88,United States and Canada,CA,-0.1813,-0.0082,-0.0238,0.0193,0.0008,0.027,-0.0082,-0.0238,0.0159,-0.0002,0.0298,-0.0082,-0.0238,0.0115,-0.0089,0.0056,8583.96,9134.45,9653.12,6724.68,6516.61,5575.56,5829.24,5507.22,5875.93,7387.66,7425.07,6308.24,6909.62,Industrials,Construction and Engineering,AtkinsRéalis Group Inc. together with its subsidiaries provides professional services and project management and capital investment services in the United Kingdom Canada the United States Saudi Arabia and internationally. It operates through eight segments: Canada UKI USLA AMEA Nuclear Linxon LSTK Projects and Capital. The company provides consultancy strategy advisory engineering design project and program management and project delivery services for building and places defence industrial power and renewables and transportation and water markets; and operations maintenance and asset management solutions for various assets. It also offers services for clients across the nuclear life cycle from consultancy engineering procurement and construction management field technology decommissioning and waste management services as well as spare parts; and new-build and full refurbishment services for reactors. In addition the company is involved in installation of alternative current power substations including expansions and electrification notably through repetitive engineering procurement and construction offerings for utilities renewables and conventional generation transportation and data centers markets; and provision of lump-sum turnkey (LSTK) construction contracts for the mass transit projects. Further it engages in developing projects arranging financing investing in equity undertaking complex financial modeling and managing its infrastructure investments such as bridges and highways mass transit systems power facilities energy infrastructure water treatment plants and social infrastructure. Additionally it offers staff augmentation services. The company was formerly known as SNC-Lavalin Group Inc. and changed its name to AtkinsRéalis in September 2023. AtkinsRéalis Group Inc. was founded in 1911 and is headquartered in Montreal Canada.
ACOX,ATCO Ltd.,73.66,5878.19,United States and Canada,CA,-0.0952,-0.0082,-0.0238,0.0299,-0.0085,0.0579,-0.0082,-0.0238,0.096,-0.0072,0.0956,-0.0082,-0.0238,,-0.0609,,4153.76,4503.5,4729.42,3437.46,3578.19,3676.65,3391.77,3099.61,3624.21,3581,3658.95,3012.32,2977.34,Utilities,Multi-Utilities,ATCO Ltd. together with its subsidiaries engages in the energy logistics and transportation shelter and real estate services in Canada Australia and internationally. The company engages in electricity and natural gas transmission and distribution and international electricity operations; energy storage electricity generation storage and industrial water solutions and clean fuels; and electricity and natural gas retail sales and home maintenance solutions. It also offers residential and workforce housing modular facilities construction site support workforce lodging facility operations and maintenance defense operations and disaster and emergency management services. In addition the company provides commercial real estate business that holds investments for sale lease and development; recycling and marketing of ash; and generates electricity through hydro solar wind and natural gas facilities; retail electricity and natural gas home products and home maintenance services; and retail food services under Blue Flame Kitchen brand name as well as professional home advices. Further the company provides ports and transportation logistics; natural gas liquids storage services; and integrated water services including pipeline transportation storage water treatment recycling and disposal to various industrial customers. ATCO Ltd. was founded in 1947 and is headquartered in Calgary Canada. ATCO Ltd. is a subsidiary of Sentgraf Enterprises Ltd.
SJ,Stella-Jones Inc.,68.68,2657.78,United States and Canada,CA,-0.3221,-0.0082,-0.0238,-0.002,-0.0508,-0.0319,-0.0082,-0.0238,-0.0085,-0.057,,-0.0082,-0.0238,0.0031,-0.0541,,2555.76,2641.77,2837.55,2412.9,2504.96,2263.75,2174.72,2004.84,1685.8,1555.99,1500.28,1369.02,1123.86,Materials,Paper and Forest Products,Stella-Jones Inc. together with its subsidiaries manufactures and sells industrial pressure-treated wood products in Canada and the United States. It operates through two segments Pressure-Treated Wood; and Logs and Lumber. The company offers wood utility poles railway ties residential lumber; and industrial products such as timbers for railway bridges crossings and construction marine and foundation pilings and coal tar-based products. It also sells logs as well as excess lumber to local home-building markets. In addition the company offers treated wood poles and crossarms steel lattice towers and steel transmission poles to electrical utilities companies; treated wood railway ties and timber for short line and commercial railroad operators; and manufactures and distributes treated residential lumber and accessories to retailers for outdoor applications. Stella-Jones Inc. was incorporated in 1992 and is headquartered in Saint-Laurent Canada.
LCFS,Tidewater Renewables Ltd.,23.01,596.2,United States and Canada,CA,-0.0396,-0.0082,-0.0238,0.2186,-0.0072,0.0626,-0.0082,-0.0238,0.1606,-0.2421,-0.157,-0.0082,-0.0238,0.154,,,313.26,296.01,262.33,296.66,73.72,56.21,27.35,3.27,3.43,4.32,,,,Energy,Oil Gas and Consumable Fuels,Tidewater Renewables Ltd. engages in production of renewable fuel in North America. Its flagship asset is the renewable diesel & renewable hydrogen complex that is located adjacent to the Prince George Refinery. It intends to focus on the production of low carbon fuels including renewable diesel renewable hydrogen and renewable natural gas. Tidewater Renewables Ltd. was incorporated in 2021 and is headquartered in Calgary Canada. Tidewater Renewables Ltd. operates as a subsidiary of Tidewater Midstream and Infrastructure Ltd.
FTS,Fortis Inc.,75.43,27235.07,United States and Canada,CA,-0.0993,-0.0082,-0.0337,0.0135,-0.0352,-0.0056,-0.0082,-0.0222,0.019,-0.008,-0.0108,-0.0082,-0.021,0.0331,-0.0436,0.0573,9399.27,9949.33,10502.73,8004.51,8692.27,8156.14,7471.55,7022.05,6764.01,6146.61,6602.82,5092.27,4869.98,Utilities,Electric Utilities,Fortis Inc. operates as an electric and gas utility company in Canada the United States and the Caribbean countries. The company generates transmits and distributes electricity to approximately 459000 retail customers in southeastern Arizona including the greater Tucson metropolitan area; and 107000 retail customers in southeastern Arizona with an aggregate capacity of 3 443 megawatts (MW). It also sells wholesale electricity to other entities in the western United States; owns gas-fired and hydroelectric generating capacity totaling 43 MW; and distributes natural gas to approximately 1105000 residential commercial and industrial customers in British Columbia Canada. In addition it owns and operates the electricity distribution system that serves approximately 615000 customers in southern and central Alberta; owns four hydroelectric generating facilities with a combined capacity of 225 MW; and provides operation maintenance and management services to hydroelectric generating facilities. Further the company distributes electricity in the island portion of Newfoundland and Labrador with an installed generating capacity of 145 MW; and on Prince Edward Island with a generating capacity of 90 MW. Additionally it provides integrated electric utility service to approximately 70000 customers in Ontario; approximately 280000 customers in Newfoundland; approximately 35000 customers on Grand Cayman Cayman Islands; and approximately 92000 customers on Maritime Electric. It also owns and operates approximately 91100 circuit Kilometers (km) of distribution lines; and approximately 51700 km of natural gas pipelines. Fortis Inc. was founded in 1885 and is headquartered in St. John's Canada.
TOU,Tourmaline Oil Corp.,61.51,16951.32,United States and Canada,CA,-0.1284,-0.0082,-0.0273,-0.066,-0.0503,-0.2053,-0.0082,-0.0253,-0.0161,-0.0216,-0.1576,-0.0082,-0.0304,-0.0123,-0.0543,,4617.88,5227.58,5004.58,3028.77,3652.9,5242.74,3768.57,1748.21,1414.07,1236.67,1285.64,820.36,761.28,Energy,Oil Gas and Consumable Fuels,Tourmaline Oil Corp. engages in the acquisition exploration development and production of petroleum and natural gas properties in the Western Canadian Sedimentary Basin. The company holds interests in properties located in the Alberta Deep Basin Northeast British Columbia Montney and the Peace River High Triassic oil complex. Tourmaline Oil Corp. was incorporated in 2008 and is headquartered in Calgary Canada.
CPKR,Canada Packers Inc.,15.14,319.46,United States and Canada,CA,-0.3692,-0.0082,-0.0238,-0.0145,-0.0619,,-0.0082,-0.0238,-0.0106,-0.0599,,,,,,,1248.3,1283.61,,,1244.58,1210.66,,,,,,,,Consumer Staples,Food Products,Canada Packers Inc. engages in the production of raised without antibiotic (RWA) pork. The company’s integrated operations cover hog production processing and value-added innovation. It delivers a mix of products to various customers in North America; and internationally through representative offices in Mexico China South Korea Japan and the Philippines. The company was founded in 1927 and is headquartered in Mississauga Canada.
EFN,Element Fleet Management Corp.,24.25,6729.72,United States and Canada,CA,-0.3662,-0.0082,-0.0238,0.0196,-0.0054,0.0002,-0.0082,-0.0238,0.0185,-0.0011,0.0753,-0.0082,-0.0238,0.0818,,,1288.87,1392.97,1487.29,2205.05,1911.73,1447.48,,,,,1380.5,1287.64,584.09,Industrials,Commercial Services and Supplies,Element Fleet Management Corp. operates as a fleet management company primarily in Canada the United States Mexico Australia and New Zealand. The company offers end-to-end fleet solutions including cars trucks and material handling support equipment ordering support. It also provides fleet management solutions such as vehicle acquisition maintenance risk management route optimization electric vehicle integration and remarketing services. In addition it manages the rental process for extra equipment or other assets ranging from forklifts to storage trailers and coordinates delivery and pickup. Further the company offers other services including fleet vehicle remarketing an advance purchase program Element Energy Solutions and fleet financing services which comprise operating and capital leases sale and leaseback funding open-end terminal rental adjustment clause (TRAC) leases and a client-owned acquisition program. Additionally it provides title licensing and registration services; end-to-end telematics services; driver training programs and other safety services; and insurance coverage solutions including subrogation driver safety programs and telematics as well as accident management services including vehicle repair for cars light-duty vehicles and medium-duty trucks. It is involved in tolls and violations processing regulation compliance fuel services managed maintenance and personal usage and expense tracking. The company provides Autofleet a suite of software solutions for transportation services for fleets and mobility operators. Element Fleet Management Corp. is based in Toronto Canada.
CMG,Computer Modelling Group Ltd.,4.17,230.65,United States and Canada,CA,-0.3495,-0.0082,-0.0236,-0.0015,-0.033,-0.0449,-0.0082,-0.0298,-0.0111,-0.017,,,,,,,89.28,93.12,,89.96,80.23,54.64,52.95,53.6,53.86,56.02,57.9,56.47,62.31,Information Technology,Software,Computer Modelling Group Ltd. a software and consulting technology company engages in the development and licensing of reservoir simulation and seismic interpretation software and related services. The company offers CMOST an optimization and analysis tool that offers solution for reservoir by combining statistical analysis machine learning and impartial data interpretation; IMEX a black oil reservoir simulator that is used to model primary secondary and tertiary oil recovery processes in conventional and unconventional reservoirs; and GEM an equation of state reservoir simulator software for compositional chemical and unconventional reservoir modelling. It also provides CoFlow a integrated production system modelling software that allows reservoir and production engineers; STARS a thermal and advanced processes simulator in thermal chemical enhanced oil recovery and other advanced processes; and Builder a pre-processor for simulation model building. In addition the company offers Results a post-processor which delivers visualization and analysis capabilities to provide insight into reservoir characteristics recovery processes and reservoir performance; Focus CCS a validate asset viability in minutes; WinProp a fluid property characterization tool and CO2LINK a dynamic link between CCS simulator and the Transient wellbore simulator for the modelling of complex CO₂ phase transition systems; as well as ShaleSim a platform that provides fracture-to-production optimization. Further it provides professional services comprising specialized support consulting training and contract research services. It operates Canada the United States South America the Eastern Hemisphere Europe Australia and Asia. Computer Modelling Group Ltd. was founded in 1978 and is headquartered in Calgary Canada.
ASM,Avino Silver & Gold Mines Ltd.,8.29,998.51,United States and Canada,CA,-0.4854,-0.0082,-0.013,-0.0753,-0.0319,0.3811,-0.0082,0.0209,0.0769,0.0175,0.8588,-0.0082,-0.0238,0.0423,-0.2316,1.4711,141.64,197.5,199.36,66.18,43.89,44.19,11.23,16.02,31.75,34.12,33.36,34.69,14.92,Materials,Metals and Mining,Avino Silver & Gold Mines Ltd. together with its subsidiaries engages in the acquisition exploration and advancement of mineral properties in Mexico. It explores for silver gold copper and base metal deposits. The company holds 100% interest in the Avino Mine area property covering an area of approximately 4086.93 hectares comprising 42 mineral claims and leases 4 mineral claims which is located in the state of Durango Mexico. It also has an option to acquire 100% interest in the Ana Maria and El Laberinto properties located in Mexico. The company was formerly known as International Avino Mines Ltd. and changed its name to Avino Silver & Gold Mines Ltd. in August 1997. Avino Silver & Gold Mines Ltd. was incorporated in 1968 and is headquartered in Vancouver Canada.
CGY,Calian Group Ltd.,84.61,690.77,United States and Canada,CA,-0.114,-0.0082,-0.029,0.017,0.0083,0.0454,-0.0082,-0.1107,-0.058,-0.0533,0.0059,-0.0082,-0.1129,-0.0544,-0.0512,,627.05,626.78,671.86,552.1,484.88,421.51,409.22,324.64,258.93,236.16,220.71,209.34,180.84,Industrials,Commercial Services and Supplies,Calian Group Ltd. provides business services and solutions in Canada and internationally. It operates through four segments: Advanced Technologies Health Learning and IT and Cyber Solutions. The company offers communication and connectivity products such as antennas RF solutions software solutions GNSS satellite flight operations and carrier and spectrum monitoring; and cybersecurity solutions including risk assessment and compliance penetration testing IT infrastructure protection penetration testing cybersecurity training and awareness RF emissions security cyberattack simulations incident response services and cloud security services. It also provides enterprise IT solutions comprising managed IT services 24/7 help desk outsourcing managed XDR security hardware asset management and NOC services; healthcare pharmaceutical solutions and digital health solutions; and corporate training immersive and blended learning and instructor-led learning solutions. In addition the company offers composites manufacturing circuit card assembly wiring harnesses and cables fibreglass canopies and product assembly services; custom software integration and embedded design operational management and lifecycle support modelling and simulation-enabled design composites engineering and technology research and development qualification testing and asset management services; and emergency response and emergency resilience hazard-informed risk assessment emergency response plans and after-action review solutions. It serves defense health transportation agriculture government and public service public safety and security energy resources and environment space retail and hospitality manufacturing and network and communication infrastructure industries. The company was formerly known as Calian Technologies Ltd. and changed its name to Calian Group Ltd. in April 2016. The company was incorporated in 1982 and is based in Ottawa Canada.
STCK,Stack Capital Group Inc.,17.09,190.06,United States and Canada,CA,-0.5586,-0.0082,-0.0238,-0.353,0.5621,5.599,-0.0082,-0.0238,-0.0611,-0.0481,,,,,,,72.97,23.93,,8.07,0.52,-0.82,1.2,,,,,,,Financials,Capital Markets,Stack Capital Group Inc. is public investment firm engaged in private Equity and venture capital specializing in Pre-IPO early stage mid stage late stage and growth stages of a company. The firm is seeking to investing USA and Canada. Stack Capital Group was formed in 2021 and is based in Toronto Canada.
MTY,MTY Food Group Inc.,31.75,514.3,United States and Canada,CA,-0.3083,-0.0082,-0.0238,-0.0243,-0.0687,-0.0676,-0.0082,-0.0238,-0.0429,-0.089,-0.1029,-0.0082,-0.0238,-0.0605,-0.1317,,774.15,763.33,779.56,828.15,861.79,532.67,431.93,393.55,414.78,310.35,214,142.43,108.94,Consumer Discretionary,Hotels Restaurants and Leisure,MTY Food Group Inc. together with its subsidiaries franchises and operates quick-service fast-casual and casual dining restaurants in Canada the United States and internationally. It sells retail products under various brand names; and engages in the operation of distribution centers and food processing plants. The company was formerly known as iNsu Innovations Group Inc. and changed its name to MTY Food Group Inc. in July 2003. MTY Food Group Inc. was founded in 1979 and is headquartered in Saint-Laurent Canada.
