universe,kind,signal,ratios,firings,hit_rate,recall,median_lead,median_nearest,pct_late,edge4,edge13,edge26,edge13_mean,fwd13,base13,p_value,pct_correct
Price ratios,bottom,Washed + ROC cross,38,158,19.941520467836256,9.209956709956709,7.25,-4.0,68.75,-0.9480103308054377,-1.5191901979437792,-1.0606463208709427,-1.6642779042467966,-0.9371405832284521,-0.2371588905765613,0.708,28.947368421052634
Price ratios,bottom,13w ROC crosses > 0,39,947,10.614567800735344,28.107448107448107,9.0,-5.0,75.81502626751495,-0.16948098404345857,0.12884858266199384,0.7648418416616538,0.3711036877114894,0.5582965304942709,-0.26602550116322343,0.466,53.84615384615385
Price ratios,bottom,Washed + MA cross,14,27,25.0,4.8106060606060606,9.0,-1.0,68.18181818181819,-0.05477562157047339,0.1415612328448268,1.5313457580414882,0.43815112186277144,0.39597084637984503,0.5651877583973497,0.48075,50.0
Price ratios,bottom,Composite < -1.0,39,878,32.178834950210906,57.02057202057202,4.5,2.0,30.05004255004255,0.06729169373748345,0.14494389066571728,0.14603759552080842,0.5747395857092641,0.35554198449535207,-0.26602550116322343,0.415,56.41025641025641
Price ratios,bottom,Ratio crosses > 40w MA,39,617,9.009107341862553,16.346338846338845,8.25,-5.0,78.37070337070337,0.27153221617407663,0.20210830345659603,1.576641588573537,1.2592368348913756,1.074356398401772,-0.26602550116322343,0.455,53.84615384615385
Price ratios,bottom,Channel z < -1.5,39,598,36.06160212686418,43.42611092611093,5.0,1.0,35.3989528989529,0.4346975379703969,0.4536787940779404,0.9979535699004058,1.0235648970094038,0.6661734076156933,-0.26602550116322343,0.3785,56.41025641025641
Price ratios,bottom,wRSI < 30,38,310,46.54630779437281,31.69210906053011,3.0,2.5,2.8947368421052633,0.2283735013185702,0.5516444748004854,-0.21420547798569406,1.3618284255726938,0.7971613642421553,-0.28017277981699196,0.33699999999999997,52.63157894736842
Price ratios,bottom,Composite < -1.5,39,487,40.77365244547907,42.817552817552816,4.5,2.5,18.298738298738296,0.4002214390851443,0.9071730671186501,-0.03576987890753214,0.7050035384324409,0.8293810735249946,-0.26602550116322343,0.254,58.97435897435898
Price ratios,bottom,Channel z < -2.0,37,318,45.77697474756299,32.646640146640145,4.0,2.0,23.548906048906048,0.2323644143845644,0.9356219544449694,1.3428387589979072,1.1158621123063464,0.8313925318428388,-0.20829227998989916,0.3295,56.75675675675676
Price ratios,bottom,40w stretch z < -1.5,39,401,37.20595099554376,35.594128094128095,4.0,2.0,21.51330151330151,0.11325743860696919,1.0863187732234068,-0.09538618305509505,0.9002409716962794,0.8780264932335076,-0.26602550116322343,0.347,61.53846153846154
Price ratios,bottom,wRSI < 25,33,119,49.44805194805195,18.19646683283047,2.75,2.25,2.6785714285714284,0.3675598097588223,1.5238731264831618,-0.3567959389451081,2.758558977029793,1.144123507373307,-0.3540024101472666,0.317,60.60606060606061
Price ratios,top,Extended + MA cross,16,27,12.5,2.212301587301587,5.0,-1.0,75.0,-0.5276292324259015,-2.669866360753237,6.377378189931706,2.5883971685255527,-3.0604496148739004,-0.7220859673738816,0.36624999999999996,56.25
Price ratios,top,Monthly RSI > 70,31,289,47.03231007125578,20.805171530977983,5.0,2.0,28.926705478429614,-0.5012795767990879,-1.8242441939645646,-1.8166451688673615,-3.1483409296955975,-1.0950091148485608,0.29599226090280345,0.3445,64.51612903225806
Price ratios,top,13w ROC crosses < 0,39,944,10.118231357680457,25.505235505235504,8.0,-4.5,76.24803970957818,-0.0924879276021145,0.07632698585033959,0.4353635759064969,0.20621437327135142,-0.33160323513995704,-0.26602550116322343,0.5265,46.15384615384615
Price ratios,top,wRSI > 70,39,336,49.952623426043594,32.18836718836719,3.0,3.0,3.48266499582289,-0.01939852260768421,0.14213625764517657,0.5711855445641163,1.3811475891128187,-0.30235787585544127,-0.26602550116322343,0.524,48.717948717948715
Price ratios,top,Extended + ROC cross,39,165,19.55960705960706,9.774484774484774,8.0,-3.0,77.84461152882206,0.2765322123898507,0.15820100095531064,0.6312798314884531,1.7124905290776433,0.3137366025908579,-0.26602550116322343,0.5249999999999999,46.15384615384615
Price ratios,top,wRSI > 75,38,162,47.68939393939394,15.965481886534516,5.0,4.75,2.6041666666666665,-0.11991840607687076,0.19539326097014353,0.5989369665031011,1.948040438576666,0.05603173310399871,-0.2371588905765613,0.5402499999999999,50.0
Price ratios,top,Channel z > +2.0,37,360,43.58351858351858,28.30817830817831,5.0,2.0,24.89208410636982,0.44550746821073234,0.3878452550184367,0.4209196057199195,2.081992064646265,0.6038003494687165,-0.2943200584707605,0.5895,43.24324324324324
Price ratios,top,Composite > +1.5,39,508,43.59637105546673,42.12250712250712,4.0,2.75,17.11086428191691,0.2314228462000958,0.40016986232322005,0.07068221723933732,1.7571904085770715,0.30761752888818805,-0.26602550116322343,0.6045,43.58974358974359
Price ratios,top,Channel z > +1.5,39,598,34.555035447206116,38.86548636548636,5.5,2.0,34.54452711031659,0.5500842129057139,0.40799620377266405,0.5825296604627449,2.1059631446888467,0.7039884646754675,-0.26602550116322343,0.5845,35.8974358974359
Price ratios,top,Ratio crosses < 40w MA,39,607,7.383754633695095,13.058423058423058,9.5,-5.5,84.05631405631405,0.19712261589000746,0.6093433103736943,0.3995263491388692,1.0434822270951973,0.7600899495641792,-0.26602550116322343,0.6285,35.8974358974359
