Symbol
RY
TD
SHOP
ENB
CP
CNR
CNQ
BMO
BN
BNS
CSU
ATD
CM
SU
TRP
MFC
WCN
BCE
SLF
IFC
ABX
T
NA
NTR
AEM
QSR
GIB.A
TRI
FFH
CVE
WPM
FNV
DOL
CCO
FTS
PPL
TECK.B
WSP
RCI.B
POW
MG
L
BIP.UN
TOU
BAM
MRU
OTEX
TFII
EMA
ARX
H
IMO
STN
GWO
WN
DSG
TIH
X
IAG
K
FSV
GFL
EFN
CAD
CAE
IVN
CCL.B
ALA
CAR.UN
CTC.A
BEP.UN
ATRL
KEY
GIL
MEG
LUN
ONEX
FM
SAP
PAAS
AGI
PKI
BYD
WFG
NPI
AC
CIGI
FTT
AQN
REI.UN
WCP
EMP.A
CPG
CLS
QBR.B
PSK
BTO
GRT.UN
ATS
KXS
BBD.B
CPX
NXE
MX
ERF
SJ
TCN
CHP.UN
CU
DIR.UN
OR
PBH
GEI
ELD
LSPD
FCR.UN
BHC
PRMW
SRU.UN
ATZ
DFY
DOO
BLX
IGM
BTE
CWB
CS
BEI.UN
CSH.UN
ACO.X
SSRM
AP.UN
HBM
HR.UN
LNR
RUS
TA
ATH
PEY
SES
EQB
VET
PXT
RCH
CIX
KMP.UN
SPB
DML
LIF
BB
GSY
NVEI
EIF
CJT
POU
AIF
TLRY
IIP.UN
OGC
MFI
FR
NWC
FIL
NVA
TPZ
TSU
FRU
EQX
ERO
TVE
BDGI
CG
ENGH
DPM
EFR
SSL
IMG
LUG
KNT
AAV
CRR.UN
STLC
CCA
BIR
INE
HWX
BBU.UN
PMZ.UN
WPK
IPCO
SVI
FVI
JWEL
MTL
TOY
PSI
TXG
MTY
PD
PET
LB
WDO
MAG
NGD
SIL
BLDP
ASTL
IFP
NWH.UN
MATR
CRT.UN
TCL.A
SII
SEA
AOI
OLA
NG
WTE
CFP
ZZZ
KEL
SIA
OSK
USD
GOOS
LAAC
LAC
