date,ticker,name,signal,universe,xs_1m,xs_3m,xs_6m,xs_12m,mae,period,rel5,w_rsi,m_rsi,rv,drawdown,move21,mkt_part,sec_part,spec_part,driver,mkt_gauge,regime,credit_stress
2008-10-15,NPO,Enpro Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.26186,-0.16815,-0.24902,-0.31914,-0.43083,In-sample 2005-14,2.26427,29.62503,41.24744,0.71738,0.37264,-0.41336,-0.34590,-0.00539,-0.06207,Market,99.92063,Elevated,False
2009-01-13,NSC,Norfolk Southern,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.01757,-0.08226,-0.06265,-0.00310,-0.31189,In-sample 2005-14,2.26522,36.27439,39.66073,0.48329,0.42473,-0.09220,-0.00131,0.02441,-0.11530,Specific,94.92063,Elevated,False
2020-03-12,NSC,Norfolk Southern,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.00116,0.08389,0.24379,0.30645,-0.19052,Out-of-sample 2015+,0.38111,21.65304,40.04346,0.47133,0.37583,-0.44905,-0.34667,-0.04963,-0.05275,Market,99.89418,Panic,True
2008-10-22,NSP,Insperity Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.06396,0.28703,0.58830,0.38453,-0.16456,In-sample 2005-14,1.00248,27.97434,33.83782,0.82436,0.57300,-0.47112,-0.37014,-0.01951,-0.08147,Market,99.84127,Elevated,False
2020-03-17,NSP,Insperity Inc.,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.36892,1.00793,1.25676,1.79264,0.00000,Out-of-sample 2015+,3.96396,20.33952,32.48858,0.72841,0.73482,-0.65744,-0.36143,-0.04506,-0.25095,Market,99.28571,Panic,True
2008-08-04,NUE,Nucor,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.05791,-0.02736,0.17716,0.14952,-0.46830,In-sample 2005-14,6.74138,34.20072,45.82214,0.68994,0.36958,-0.19636,-0.01697,-0.04768,-0.13171,Specific,90.63492,Elevated,False
2008-11-03,NUE,Nucor,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.00323,0.27533,0.17764,-0.06567,-0.35653,In-sample 2005-14,3.45454,36.09764,37.69921,1.46441,0.53062,0.08492,-0.20784,-0.03625,0.32902,Specific,98.69048,Elevated,False
2025-04-10,NUE,Nucor,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.02968,0.08057,-0.00742,0.40435,-0.04108,Out-of-sample 2015+,0.45821,36.04689,40.34461,0.50155,0.43866,-0.17423,-0.06108,-0.04006,-0.07309,Specific,94.02116,Panic,False
2022-05-16,NVCR,NovoCure Limited,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.10844,0.09790,0.18754,0.06497,-0.21049,Out-of-sample 2015+,8.67123,37.23437,40.75811,0.79704,0.70432,-0.23347,-0.15594,0.00537,-0.08290,Market,74.94709,Elevated,False
2023-06-06,NVCR,NovoCure Limited,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",-0.17287,-0.63576,-0.80938,-0.82822,-0.61765,Out-of-sample 2015+,1.84908,36.11321,38.80567,0.80585,0.60441,-0.37274,0.04855,-0.02857,-0.39271,Specific,21.46825,Calm,False
2008-11-12,NVDA,Nvidia,Buy signal: all four conditions (chosen),"US stocks (S&P 500, Nasdaq-100 + screener list)",0.08537,0.11017,0.15150,0.47426,-0.25693,In-sample 2005-14,0.89087,33.58943,34.02698,0.96918,0.79757,-0.06972,-0.21566,-0.02480,0.17074,Market,99.20635,Elevated,False
