date,ticker,ret,xs,universe
2006-05-23,AKR,1.1621423,-6.506942516030719,US Stocks
2006-05-23,DOC,1.6405098,-6.028574948968341,US Stocks
2006-05-24,ARE,0.2796098,-7.283597970355544,US Stocks
2006-05-24,JOE,0.4335395,-7.12966825996736,US Stocks
2006-05-30,SSD,5.4917707,-2.086211297214131,US Stocks
2006-05-31,ARE,0.2464323,-7.250251804149139,US Stocks
2006-05-31,REG,1.6710012,-5.82568291262387,US Stocks
2006-06-08,AU,2.1134863,-5.6123097067878565,US Stocks
2006-06-09,AIT,19.501501,11.67999970219788,US Stocks
2006-06-12,REG,1.7241433,-6.201016033699053,US Stocks
2006-06-13,ARE,0.2800634,-7.576441551749873,US Stocks
2006-06-19,AIT,19.455881,11.680276796661312,US Stocks
2006-06-26,NVR,11.447546,3.659191982548739,US Stocks
2006-06-27,SSD,5.488029,-2.2411510054962385,US Stocks
2006-07-05,AIT,18.135876,10.590952990200435,US Stocks
2006-07-07,AIT,18.617744,11.033077614102563,US Stocks
2006-07-12,SSD,5.701455,-2.0805182581384525,US Stocks
2006-07-13,SF,13.1692295,5.353124557851192,US Stocks
2006-07-14,CHE,14.294727,6.465757788939888,US Stocks
2006-07-21,SF,12.300321,4.672121405462914,US Stocks
2006-07-26,CW,21.478367,13.8842152842399,US Stocks
2006-07-27,SF,12.50532,4.996452443474203,US Stocks
2006-07-28,PII,3.998127,-3.51939223779277,US Stocks
2006-08-01,SF,12.820586,5.318360963799785,US Stocks
2006-08-01,CW,21.225357,13.723131814935039,US Stocks
2006-08-01,AIT,18.872185,11.369959512688945,US Stocks
2006-08-04,SF,12.846788,5.332595995218826,US Stocks
2006-08-09,BCPC,19.569344,12.0197249029088,US Stocks
2006-08-09,LSTR,4.033471,-3.516147556502821,US Stocks
2006-08-14,PII,4.008611,-3.457261557546488,US Stocks
2006-08-17,PII,3.9850845,-3.3473416609663893,US Stocks
2006-08-21,AIT,19.710707,12.34177647072704,US Stocks
2006-08-21,BCPC,19.723003,12.354073147362783,US Stocks
2006-08-21,SF,12.661133,5.292202572411611,US Stocks
2006-08-21,WKC,1.3969007,-5.972029586249278,US Stocks
2006-08-23,PII,4.233655,-3.165609310763447,US Stocks
2006-08-23,SF,12.601755,5.202490855557354,US Stocks
2006-08-23,LSTR,4.10485,-3.294414471285908,US Stocks
2006-08-25,SF,12.563854,5.214815779789943,US Stocks
2006-08-29,SF,12.665392,5.3310524398139165,US Stocks
2006-08-30,BCPC,19.899937,12.564321414946937,US Stocks
2006-09-01,SF,12.781459,5.511050930066123,US Stocks
2006-09-06,BCPC,19.899937,12.517479215571045,US Stocks
2006-09-06,LSTR,4.1133094,-3.2691480770620114,US Stocks
2006-09-07,AIT,19.748322,12.389671036909826,US Stocks
2006-09-11,STRL,27.2925,20.023343364827397,US Stocks
2006-09-14,STRL,25.062096,17.845995268089787,US Stocks
2006-09-14,WKC,1.3233342,-5.892766156928522,US Stocks
2006-10-27,CHE,14.783702,7.916370934906902,US Stocks
2006-11-15,CHE,14.357794,7.634495493608585,US Stocks
2006-11-27,ESE,5.4047785,-1.3940738510179669,US Stocks
2006-12-08,ESE,5.393326,-1.2510146738971644,US Stocks
2006-12-18,ESE,5.406212,-1.1749260520331992,US Stocks
2006-12-19,MAA,3.7374682,-2.847935708110584,US Stocks
2007-01-03,ESE,5.3142924,-1.2962779743470545,US Stocks
2007-01-05,ESE,5.360628,-1.275815526438457,US Stocks
2007-01-10,ESE,5.187271,-1.3970681991345595,US Stocks
2007-02-16,BCPC,17.984665,11.601829292487393,US Stocks
2007-02-27,CPT,2.198821,-4.451709469687897,US Stocks
2007-02-27,MAA,3.8792315,-2.7712990845560608,US Stocks
2007-03-01,CPT,2.252134,-4.523082150205955,US Stocks
2007-03-02,BIO,4.454454,-2.3954877450913,US Stocks
2007-03-05,EGP,6.7492323,0.03133958991596586,US Stocks
2007-03-12,BIO,4.601153,-2.1976834345264598,US Stocks
2007-03-13,CPT,2.2257102,-4.515454518612156,US Stocks
2007-03-13,GTY,2.3211348,-4.420029866512547,US Stocks
2007-03-16,CPT,2.1802664,-4.479719743571807,US Stocks
2007-03-16,MCO,8.1040125,1.444026365436982,US Stocks
2007-03-23,MCO,8.072961,1.573451602345843,US Stocks
2007-03-27,BIO,4.307057,-2.2654298440003107,US Stocks
2007-03-27,CPT,2.3011434,-4.271343340017767,US Stocks
2007-03-27,EGP,6.9934683,0.4209815367675116,US Stocks
2007-03-29,BIO,4.4271193,-2.1357648487796466,US Stocks
2007-03-30,GPN,4.195224,-2.3591529257679653,US Stocks
2007-04-09,BIO,4.3870096,-2.039378772824292,US Stocks
2007-04-11,GPN,4.037964,-2.3858602207589126,US Stocks
2007-04-19,MAA,3.7732992,-2.4527147970325753,US Stocks
2007-04-27,CPT,2.2736564,-3.968437016687533,US Stocks
2007-04-30,MAA,3.9997497,-2.2238323122949843,US Stocks
2007-05-16,MAA,3.9468718,-2.1511467692595057,US Stocks
2007-05-17,ESS,3.4009328,-2.6356918927101454,US Stocks
2007-05-18,CPT,2.280249,-3.760065697429269,US Stocks
2007-05-23,CPT,2.3189247,-3.7903687321493162,US Stocks
2007-05-23,ESS,3.4179783,-2.691315110857202,US Stocks
2007-05-29,DOC,0.9394194,-5.057778046286619,US Stocks
2007-06-01,DOC,0.9839212,-4.985126084332791,US Stocks
2007-06-06,ESS,3.4314132,-2.771334799188712,US Stocks
2007-06-07,PSA,6.0807514,-0.029483040277312078,US Stocks
2007-06-07,KIM,0.3016758,-5.808558662835906,US Stocks
2007-06-11,KIM,0.38686776,-5.78940735530087,US Stocks
2007-06-12,SPG,3.9646192,-2.105827021338709,US Stocks
2007-06-18,CPT,2.2392395,-3.737476692913951,US Stocks
2007-06-18,FRT,1.7701969,-4.206519232510509,US Stocks
2007-06-18,SPG,4.0723014,-1.904414759396495,US Stocks
2007-06-20,CPT,2.3218253,-3.7141116400225442,US Stocks
2007-06-20,CUZ,-0.30008584,-6.336022748516349,US Stocks
2007-06-20,MAA,4.0053787,-2.0305581827624124,US Stocks
2007-06-20,SPG,4.1723204,-1.863616540001182,US Stocks
2007-06-21,O,5.192774,-0.9099891376558107,US Stocks
2007-06-26,CUZ,-0.2981857,-6.408032970243949,US Stocks
2007-06-26,SLG,-0.14356464,-6.253411905581015,US Stocks
2007-06-28,CPT,2.3698726,-3.738557213507658,US Stocks
2007-06-29,BXMT,-0.6749586,-6.71969793946814,US Stocks
2007-07-02,PLD,3.5656753,-2.4536292627020755,US Stocks
2007-07-03,FRT,1.7314785,-4.295208854356119,US Stocks
2007-07-09,FRT,1.8720665,-4.213286279640695,US Stocks
2007-07-11,ESE,6.2506313,0.3245277598789329,US Stocks
2007-07-13,REG,1.204068,-4.702353887722535,US Stocks
2007-07-16,BXMT,-0.6860181,-6.596009720976011,US Stocks
2007-07-16,ESE,6.389238,0.47924626905237044,US Stocks
2007-07-19,CPT,2.5163658,-3.449894880237415,US Stocks
2007-07-19,O,5.3293505,-0.6369101752661015,US Stocks
2007-07-20,ESE,6.4508286,0.5058327132072344,US Stocks
2007-07-20,MAA,4.258348,-1.6866478509101972,US Stocks
2007-07-23,O,5.6304917,-0.43706393940600385,US Stocks
2007-07-23,FIZZ,13.240325,7.172769301103029,US Stocks
2007-07-23,CPT,2.7057536,-3.3618021081224345,US Stocks
2007-07-24,BANF,6.985866,0.9327627920988704,US Stocks
2007-07-24,BXP,0.4176576,-5.635445663940558,US Stocks
2007-07-24,ESE,6.5952563,0.5421530508879329,US Stocks
2007-07-24,FRT,1.851577,-4.201526234161506,US Stocks
2007-07-25,ADC,5.8223286,-0.40183736835047235,US Stocks
2007-07-25,ARE,0.15678823,-6.067377705913033,US Stocks
2007-07-25,EGP,8.630703,2.406537036556754,US Stocks
2007-07-25,O,5.514261,-0.7099051669649743,US Stocks
2007-07-25,UDR,2.2904675,-3.9336984351687097,US Stocks
2007-07-26,BXP,0.50440943,-5.864628969709386,US Stocks
2007-07-27,VNO,-0.045552373,-6.301089523603834,US Stocks
2007-07-27,SLG,-0.093594134,-6.3491312845253125,US Stocks
2007-07-27,AKR,0.82204986,-5.433487294485487,US Stocks
2007-07-27,ESE,6.6460137,0.39047658605345337,US Stocks
2007-07-27,KRC,0.18466973,-6.070867417623915,US Stocks
2007-07-30,CPT,3.106266,-3.2319214300434362,US Stocks
2007-07-30,CUZ,-0.19554794,-6.533735390118815,US Stocks
2007-07-31,CDP,1.0382149,-5.264394131185423,US Stocks
2007-08-01,EPR,3.3756185,-2.8691058445769837,US Stocks
2007-08-01,MCO,9.209711,2.9649867724579284,US Stocks
2007-08-02,ADC,5.740359,-0.6958082296615977,US Stocks
2007-08-02,DHC,0.30147433,-6.1346927263504405,US Stocks
2007-08-03,PNFP,3.7972927,-2.516302800915141,US Stocks
2007-08-03,VNO,-0.08009666,-6.393692172310252,US Stocks
2007-08-07,CUZ,-0.25983196,-6.396728454493288,US Stocks
2007-08-07,ADC,5.1841464,-0.9527500852572954,US Stocks
2007-08-09,AIT,14.067092,7.677684452378195,US Stocks
2007-08-09,ARLP,6.7248816,0.3354741595620325,US Stocks
2007-08-09,CPT,2.6996777,-3.689729783690531,US Stocks
2007-08-09,DINO,7.174464,0.7850567363137415,US Stocks
2007-08-09,DOC,1.254597,-5.134810540831644,US Stocks
2007-08-09,UDR,2.3288882,-4.060519311583597,US Stocks
2007-08-09,UGI,3.2477746,-3.1416328884726354,US Stocks
2007-08-09,VTR,4.1287007,-2.260706756270487,US Stocks
2007-08-10,WRB,10.845586,4.482637748558607,US Stocks
2007-08-10,VNO,-0.051085114,-6.41403318897954,US Stocks
2007-08-10,LSTR,3.933148,-2.4298001672433953,US Stocks
2007-08-10,ESE,7.281336,0.9183877561880012,US Stocks
2007-08-10,FRT,1.8739438,-4.489004268805895,US Stocks
2007-08-10,CUZ,-0.21782863,-6.580776705901537,US Stocks
2007-08-10,HOPE,0.6452323,-5.717715754668627,US Stocks
2007-08-13,BXP,0.47969997,-5.997544650824558,US Stocks
2007-08-13,DHC,0.22881746,-6.248427157195103,US Stocks
2007-08-14,ADC,5.6784534,-0.9032340283639391,US Stocks
2007-08-14,BLK,10.441832,3.860144114946608,US Stocks
2007-08-14,WSFS,4.064277,-2.5174103017098863,US Stocks
2007-08-15,DINO,7.415739,0.8906107167242503,US Stocks
2007-08-15,TPR,3.2370896,-3.2880387087823415,US Stocks
2007-08-16,PAA,2.4752395,-3.914167974150736,US Stocks
2007-08-20,WKC,1.4377995,-4.940390600566304,US Stocks
2007-08-20,POOL,5.570435,-0.8077550071519974,US Stocks
2007-08-21,DINO,7.010811,0.719155297919106,US Stocks
2007-08-21,GPN,3.9470534,-2.3446021216670756,US Stocks
2007-08-23,BXP,0.42401922,-5.78504688253454,US Stocks
2007-08-23,PSA,6.866326,0.657259755229437,US Stocks
2007-08-23,SPG,4.2226534,-1.9864127110486391,US Stocks
2007-08-24,ESS,3.554862,-2.7219055517382467,US Stocks
2007-08-27,TPR,3.4373956,-3.0029089386755565,US Stocks
2007-08-27,VTR,4.059608,-2.380696528702412,US Stocks
2007-08-28,WSFS,3.8257704,-2.4713586231693654,US Stocks
2007-08-28,VNO,-0.05364847,-6.350777473114434,US Stocks
2007-08-28,RL,4.9270124,-1.3701165577396779,US Stocks
2007-08-28,BLK,9.6966305,3.399501476623115,US Stocks
2007-08-28,DHC,0.1450342,-6.152094807289544,US Stocks
2007-08-30,RL,4.890136,-1.3550760720369412,US Stocks
2007-08-30,WSFS,3.881847,-2.363364932357986,US Stocks
2007-09-05,WKC,1.3071454,-4.9116549462137185,US Stocks
2007-09-05,PSA,6.7208652,0.5020649462881126,US Stocks
2007-09-05,PLD,3.5773535,-2.641446825867649,US Stocks
2007-09-05,MAA,4.376273,-1.8425271481332741,US Stocks
2007-09-05,SPG,4.1552186,-2.06358170211887,US Stocks
2007-09-05,CPT,2.7075787,-3.5112216442880593,US Stocks
2007-09-05,CDP,0.83563066,-5.38316964805698,US Stocks
2007-09-05,BXP,0.408648,-5.810152289277073,US Stocks
2007-09-05,KIM,0.35163713,-5.867163178330418,US Stocks
2007-09-06,ESS,3.6269264,-2.6936799163133305,US Stocks
2007-09-06,WRB,10.331594,4.010988128730615,US Stocks
2007-09-07,BXMT,-0.66279125,-6.997458559296357,US Stocks
2007-09-07,KIM,0.40519762,-5.929469686768281,US Stocks
2007-09-07,PSA,7.100296,0.7656287133476862,US Stocks
2007-09-07,SPG,4.3378925,-1.9967747748114935,US Stocks
2007-09-07,VNO,-0.050258458,-6.384925764820801,US Stocks
2007-09-07,WSFS,3.8948507,-2.43981657626413,US Stocks
2007-09-10,ADC,5.301241,-0.9488828488093484,US Stocks
2007-09-11,PAA,2.5241134,-3.707384370999246,US Stocks
