Date,Market gauge,List,Universe,Ticker,Name,Group,met_leader,met_weekly,met_monthly,met_vol_spike,5Y rel,Weekly RSI,Weekly pct,Weekly thr,Monthly RSI,Monthly pct,Monthly thr,Vol 20d,Vol spike level,Days since spike,Drawdown,21d move,Driver,Signal date,Days ago,Earnings,Base rate
2026-09-16,36.8000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",GOLF,Acushnet Holdings Corp.,Consumer Discretionary,True,True,True,True,0.1271,38.1557,0.0518,42.1774,50.8962,0.0381,54.6060,0.2446,0.3726,9.0000,0.3001,-0.0850,Specific,2026-09-10,4,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-16,36.8000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HLI,Houlihan Lokey Inc.,Financials,True,True,True,True,0.1327,39.4899,0.0885,40.1500,41.7518,0.0168,52.6556,0.3331,0.3668,14.0000,0.3660,0.0464,Specific,2026-09-16,0,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-16,36.8000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FICO,Fair Isaac,Information Technology,True,False,True,True,0.5097,40.4964,0.1146,39.5647,39.1793,0.0588,44.8863,0.4462,0.4720,14.0000,0.4726,-0.0686,Specific,2026-09-10,4,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-16,36.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",RBA,RB Global Inc.,Consumer Discretionary,True,True,True,True,0.1912,33.5692,0.0152,41.7403,43.9775,0.0425,47.5025,0.2794,0.3710,10.0000,0.2876,0.0306,Specific,2026-09-04,7,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-16,36.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HWKN,Hawkins Inc.,Consumer Discretionary,True,True,True,False,3.1325,39.6427,0.0457,42.2554,48.7483,0.0980,48.8016,0.3452,0.4769,37.0000,0.3265,-0.0655,Specific,2026-08-20,18,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-16,36.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AAON,AAON Inc.,Industrials,True,True,True,False,1.2051,37.4776,0.0421,41.9277,45.9053,0.0327,49.4274,0.4103,0.5911,22.0000,0.4893,-0.1411,Sector,2026-08-10,26,,"-2.1% 6m xs, 40% hit (n=105)"
2026-09-16,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DKS,DICK'S Sporting Goods Inc.,Consumer Discretionary,True,True,True,False,0.7592,25.7929,0.0122,39.0502,33.8290,0.0147,43.4597,0.5005,0.5032,,0.4781,-0.3639,Specific,,,Reported 22d ago,
2026-09-16,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TJX,TJX Companies,Consumer Discretionary,True,True,True,False,0.8455,28.8340,0.0007,43.3951,44.3055,0.0196,51.5763,0.2278,0.3990,,0.2683,-0.1857,Specific,,,Reported 28d ago,
2026-09-16,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DECK,Deckers Brands,Consumer Discretionary,True,True,True,False,0.1361,31.1989,0.0276,37.7916,39.4121,0.0327,43.5387,0.2569,0.6505,,0.3554,-0.1348,Specific,,,,
2026-09-16,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",BOOT,Boot Barn Holdings Inc.,Consumer Discretionary,True,True,True,False,0.2309,33.2868,0.0693,36.8280,43.4766,0.0233,48.3831,0.4016,0.7060,,0.4098,-0.2521,Specific,,,,
