Date,Market gauge,List,Universe,Ticker,Name,Group,met_leader,met_weekly,met_monthly,met_vol_spike,5Y rel,Weekly RSI,Weekly pct,Weekly thr,Monthly RSI,Monthly pct,Monthly thr,Vol 20d,Vol spike level,Days since spike,Drawdown,21d move,Driver,Signal date,Days ago,Earnings,Base rate
2026-09-17,19.8000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FICO,Fair Isaac,Information Technology,True,True,True,True,0.3971,39.3794,0.0986,39.5647,38.6460,0.0556,44.8863,0.4263,0.4719,15.0000,0.4859,-0.1037,Specific,2026-09-17,0,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-17,19.8000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HLI,Houlihan Lokey Inc.,Financials,True,False,True,True,0.0884,41.1937,0.1168,40.1500,42.6214,0.0252,52.6556,0.3241,0.3668,15.0000,0.3548,0.0500,Specific,2026-09-16,1,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-17,19.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",GOLF,Acushnet Holdings Corp.,Consumer Discretionary,True,True,True,True,0.2630,37.2940,0.0378,42.1774,50.3634,0.0286,54.6061,0.2382,0.3725,10.0000,0.3100,-0.0870,Specific,2026-09-10,5,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-17,19.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",RBA,RB Global Inc.,Consumer Discretionary,True,True,True,True,0.1553,33.2598,0.0138,41.7403,43.8791,0.0392,47.5026,0.2712,0.3710,11.0000,0.2894,-0.0157,Sector,2026-09-04,8,,"-2.1% 6m xs, 40% hit (n=105)"
2026-09-17,19.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HWKN,Hawkins Inc.,Consumer Discretionary,True,True,True,False,3.1953,38.9512,0.0370,42.2554,48.2695,0.0915,48.8016,0.3544,0.4769,38.0000,0.3345,-0.0264,Specific,2026-08-20,19,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-17,19.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AAON,AAON Inc.,Industrials,True,True,True,False,1.3412,37.8344,0.0479,41.9277,46.1351,0.0425,49.4274,0.4024,0.5911,23.0000,0.4834,-0.0674,Sector,2026-08-10,27,,"-2.1% 6m xs, 40% hit (n=105)"
2026-09-17,19.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DKS,DICK'S Sporting Goods Inc.,Consumer Discretionary,True,True,True,False,0.8219,25.8405,0.0122,39.0502,33.8734,0.0147,43.4597,0.4979,0.5031,,0.4770,-0.3468,Specific,,,Reported 23d ago,
2026-09-17,19.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TJX,TJX Companies,Consumer Discretionary,True,True,True,False,0.8527,31.0088,0.0029,43.3951,46.2362,0.0294,51.5763,0.1791,0.3990,,0.2462,-0.1611,Specific,,,Reported 29d ago,
2026-09-17,19.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DECK,Deckers Brands,Consumer Discretionary,True,True,True,False,0.0790,32.2075,0.0348,37.7916,39.8662,0.0392,43.5387,0.2677,0.6505,,0.3409,-0.1095,Specific,,,,
2026-09-17,19.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",BOOT,Boot Barn Holdings Inc.,Consumer Discretionary,True,True,True,False,0.3236,33.3095,0.0693,36.8280,43.4934,0.0233,48.3831,0.4038,0.7059,,0.4094,-0.2230,Specific,,,,
2026-09-17,19.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",CW,Curtiss-Wright Corporation,Information Technology,True,True,False,True,4.3782,33.6312,0.0218,40.7119,54.3515,0.2778,45.7462,0.2776,0.3585,15.0000,0.2842,-0.1843,Specific,,,,
