Date,Market gauge,List,Universe,Ticker,Name,Group,met_leader,met_weekly,met_monthly,met_vol_spike,5Y rel,Weekly RSI,Weekly pct,Weekly thr,Monthly RSI,Monthly pct,Monthly thr,Vol 20d,Vol spike level,Days since spike,Drawdown,21d move,Driver,Signal date,Days ago,Earnings,Base rate
2026-09-15,36.8000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",GOLF,Acushnet Holdings Corp.,Consumer Discretionary,True,True,True,True,0.0868,38.4544,0.0538,42.1774,51.0779,0.0381,54.6060,0.2433,0.3726,8.0000,0.2968,-0.0746,Specific,2026-09-10,3,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-15,36.8000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FICO,Fair Isaac,Information Technology,True,False,True,True,0.5067,40.1728,0.1109,39.5647,39.0633,0.0556,44.8863,0.4463,0.4720,13.0000,0.4754,-0.0919,Specific,2026-09-10,3,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-15,36.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",RBA,RB Global Inc.,Consumer Discretionary,True,True,True,True,0.1437,36.1350,0.0276,41.7403,45.0152,0.0556,47.5025,0.2842,0.3710,9.0000,0.2722,0.0260,Specific,2026-09-04,6,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-15,36.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HWKN,Hawkins Inc.,Consumer Discretionary,True,True,True,False,2.9979,38.9465,0.0370,42.2554,48.2662,0.0915,48.8016,0.3535,0.4769,36.0000,0.3345,-0.0729,Specific,2026-08-20,17,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-15,36.8000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AAON,AAON Inc.,Industrials,True,True,True,False,1.2104,36.9806,0.0392,41.9277,45.6128,0.0294,49.4274,0.4160,0.5912,21.0000,0.4977,-0.1524,Sector,2026-08-10,25,,"-2.1% 6m xs, 40% hit (n=105)"
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DKS,DICK'S Sporting Goods Inc.,Consumer Discretionary,True,True,True,False,0.6650,25.8052,0.0122,39.0502,33.8405,0.0147,43.4597,0.5020,0.5032,,0.4778,-0.3816,Specific,,,Reported 21d ago,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TJX,TJX Companies,Consumer Discretionary,True,True,True,False,0.8233,29.6743,0.0007,43.3951,45.2009,0.0229,51.5763,0.2247,0.3990,,0.2578,-0.1809,Specific,,,Reported 27d ago,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DECK,Deckers Brands,Consumer Discretionary,True,True,True,False,0.1599,30.9497,0.0261,37.7916,39.2970,0.0327,43.5387,0.2545,0.6505,,0.3591,-0.1674,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",CW,Curtiss-Wright Corporation,Information Technology,True,True,False,True,4.1519,32.6646,0.0174,40.7118,53.8642,0.2712,45.7462,0.2821,0.3586,13.0000,0.2900,-0.1951,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TGLS,Tecnoglass Holdings Inc.,Consumer Discretionary,True,True,True,False,0.3429,33.7185,0.0639,37.1980,34.1262,0.0443,39.1024,0.3359,0.6574,,0.4908,-0.1358,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",BOOT,Boot Barn Holdings Inc.,Consumer Discretionary,True,True,True,False,0.2926,34.9606,0.0858,36.8280,44.6834,0.0388,48.3831,0.3894,0.7061,,0.3828,-0.2140,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AGX,Argan Inc.,Consumer Discretionary,True,True,False,True,13.4817,35.1367,0.0885,36.0085,52.2100,0.3595,42.2247,0.5481,0.6258,16.0000,0.5128,-0.3277,Specific,,,Reported 13d ago,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AZO,AutoZone,Consumer Discretionary,True,True,True,False,0.3153,35.2410,0.0276,41.2668,42.7758,0.0229,50.5489,0.2250,0.3406,,0.3333,-0.0545,Specific,,,Due in 7d,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TDG,TransDigm Group,Industrials,True,True,True,False,0.3834,35.6768,0.0152,44.6331,43.1579,0.0086,51.5778,0.2068,0.4008,,0.2517,-0.1368,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",PFGC,Performance Food Group Company,Consumer Discretionary,True,True,True,False,0.0667,36.0384,0.0215,42.6019,49.2166,0.0847,50.8487,0.2232,0.4649,,0.2373,-0.1704,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FN,Fabrinet,Utilities,True,True,False,True,4.7463,36.8002,0.0504,40.8585,48.8304,0.1547,46.3991,0.4625,0.6396,14.0000,0.4978,-0.3425,Specific,,,Reported 29d ago,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",APG,APi Group Corporation,Consumer Discretionary,True,True,True,False,0.7937,38.5089,0.0502,43.2003,54.4040,0.0952,55.6344,0.4023,0.4308,,0.2516,-0.1588,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",ROAD,Construction Partners Inc.,Industrials,True,True,True,False,1.6723,40.5333,0.0898,41.8544,49.1937,0.0465,51.2412,0.3951,0.6280,,0.3235,-0.2181,Sector,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",ORLY,O'Reilly Automotive,Consumer Discretionary,True,True,True,False,0.6452,41.3199,0.0783,42.4298,48.2734,0.0588,51.9542,0.1913,0.4743,,0.2101,-0.0647,Specific,,,,
2026-09-15,36.8000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HLI,Houlihan Lokey Inc.,Financials,True,False,True,True,0.0937,42.0300,0.1310,40.1500,43.1610,0.0252,52.6556,0.3327,0.3668,13.0000,0.3496,0.0447,Specific,,,,
