Date,Market gauge,List,Universe,Ticker,Name,Group,met_leader,met_weekly,met_monthly,met_vol_spike,5Y rel,Weekly RSI,Weekly pct,Weekly thr,Monthly RSI,Monthly pct,Monthly thr,Vol 20d,Vol spike level,Days since spike,Drawdown,21d move,Driver,Signal date,Days ago,Earnings,Base rate
2026-09-14,25.1000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",GOLF,Acushnet Holdings Corp.,Consumer Discretionary,True,True,True,True,0.1511,39.6154,0.0717,42.1774,51.7697,0.0571,54.6060,0.2446,0.3727,7.0000,0.2845,-0.0566,Specific,2026-09-10,2,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-14,25.1000,Buy Signal,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FICO,Fair Isaac,Information Technology,True,False,True,True,0.5517,40.9509,0.1204,39.5647,39.3456,0.0621,44.8863,0.4400,0.4720,12.0000,0.4685,-0.1005,Specific,2026-09-10,2,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-14,25.1000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",RBA,RB Global Inc.,Consumer Discretionary,True,True,True,True,0.1381,33.8539,0.0167,41.7403,44.0692,0.0458,47.5025,0.2761,0.3710,8.0000,0.2860,-0.0184,Market,2026-09-04,5,,"+4.8% 6m xs, 54% hit (n=721)"
2026-09-14,25.1000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HWKN,Hawkins Inc.,Consumer Discretionary,True,True,True,False,3.0384,39.0734,0.0377,42.2553,48.3560,0.0948,48.8016,0.3451,0.4769,35.0000,0.3331,-0.0476,Specific,2026-08-20,16,,"+5.8% 6m xs, 52% hit (n=690)"
2026-09-14,25.1000,Radar,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AAON,AAON Inc.,Industrials,True,True,True,False,1.1505,37.2556,0.0392,41.9277,45.7751,0.0327,49.4274,0.4150,0.5912,20.0000,0.4930,-0.1433,Sector,2026-08-10,24,,"-2.1% 6m xs, 40% hit (n=105)"
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DKS,DICK'S Sporting Goods Inc.,Consumer Discretionary,True,True,True,False,0.7775,27.6439,0.0194,39.0501,35.5241,0.0220,43.4597,0.4933,0.5033,,0.4367,-0.3339,Specific,,,Reported 20d ago,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TJX,TJX Companies,Consumer Discretionary,True,True,True,False,0.8919,30.9159,0.0029,43.3950,46.1928,0.0294,51.5763,0.2213,0.3990,,0.2467,-0.1778,Specific,,,Reported 26d ago,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",CW,Curtiss-Wright Corporation,Information Technology,True,True,False,True,4.2970,31.3180,0.0109,40.7119,52.9488,0.2418,45.7461,0.2737,0.3586,12.0000,0.3012,-0.1958,Specific,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",DECK,Deckers Brands,Consumer Discretionary,True,True,True,False,0.2217,32.0771,0.0348,37.7916,39.8086,0.0392,43.5387,0.2526,0.6505,,0.3427,-0.1480,Specific,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AGX,Argan Inc.,Consumer Discretionary,True,True,False,True,12.5626,35.2161,0.0892,36.0085,52.2772,0.3660,42.2247,0.5435,0.6258,15.0000,0.5114,-0.3024,Specific,,,Reported 12d ago,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TGLS,Tecnoglass Holdings Inc.,Consumer Discretionary,True,True,True,False,0.4257,36.4486,0.0912,37.1980,35.3895,0.0443,39.1024,0.3391,0.6575,,0.4649,-0.0978,Specific,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",IBP,Installed Building Products Inc.,Consumer Discretionary,True,True,True,False,0.0129,36.5914,0.0544,39.9343,46.7128,0.0803,47.0964,0.4197,0.5377,23.0000,0.4168,-0.1923,Specific,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",TDG,TransDigm Group,Industrials,True,True,True,False,0.3998,37.3549,0.0275,44.6331,44.2926,0.0129,51.5778,0.1955,0.4009,,0.2353,-0.1103,Sector,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",FN,Fabrinet,Utilities,True,True,False,True,4.6135,38.2148,0.0660,40.8585,50.4342,0.2099,46.3991,0.4632,0.6396,13.0000,0.4724,-0.3047,Specific,,,Reported 28d ago,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",APG,APi Group Corporation,Consumer Discretionary,True,True,True,False,0.9529,38.8923,0.0627,43.2003,54.7012,0.0952,55.6344,0.4017,0.4308,,0.2481,-0.1457,Specific,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",AZO,AutoZone,Consumer Discretionary,True,True,True,False,0.3695,39.1253,0.0667,41.2668,43.8244,0.0327,50.5489,0.2324,0.3406,,0.3205,-0.0341,Specific,,,Due in 8d,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",ODFL,Old Dominion,Industrials,True,True,True,False,0.1004,39.1996,0.0580,41.8718,49.6700,0.0948,49.9880,0.3229,0.5017,,0.2691,-0.1573,Sector,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",ROAD,Construction Partners Inc.,Industrials,True,True,True,False,1.5436,41.1056,0.0898,41.8544,49.6934,0.0465,51.2412,0.3934,0.6280,,0.3145,-0.1880,Sector,,,,
2026-09-14,25.1000,Setting Up,"US Stocks (S&P 500, Nasdaq-100 + screener list)",HLI,Houlihan Lokey Inc.,Financials,True,False,True,True,0.1099,44.3705,0.1717,40.1500,44.5166,0.0420,52.6556,0.3308,0.3668,12.0000,0.3360,0.0380,Specific,,,,
